,Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
95,CHW,AL,2009,724,732,79,0.329,0.411,0.258,0,,,162,0.325,0.414
96,CIN,NL,2009,673,723,78,0.318,0.394,0.247,0,,,162,0.333,0.418
97,CLE,AL,2009,773,865,65,0.339,0.417,0.264,0,,,162,0.351,0.443
98,COL,NL,2009,804,715,92,0.343,0.441,0.261,1,5.0,4.0,162,0.328,0.405
99,DET,AL,2009,743,745,86,0.331,0.416,0.26,0,,,163,0.336,0.422
100,FLA,NL,2009,772,766,87,0.34,0.416,0.268,0,,,162,0.333,0.408
101,HOU,NL,2009,643,770,74,0.319,0.4,0.26,0,,,162,0.344,0.44
102,KCR,AL,2009,686,842,65,0.318,0.405,0.259,0,,,162,0.343,0.422
103,LAA,AL,2009,883,761,97,0.35,0.441,0.285,1,2.0,3.0,162,0.338,0.432
104,LAD,NL,2009,780,611,95,0.346,0.412,0.27,1,3.0,3.0,162,0.312,0.361
105,MIL,NL,2009,785,818,80,0.341,0.426,0.263,0,,,162,0.345,0.45
106,MIN,AL,2009,817,765,87,0.345,0.429,0.274,1,7.0,4.0,163,0.331,0.431
107,NYM,NL,2009,671,757,70,0.335,0.394,0.27,0,,,162,0.342,0.418
108,NYY,AL,2009,915,753,103,0.362,0.478,0.283,1,1.0,1.0,162,0.327,0.408
109,OAK,AL,2009,759,761,75,0.328,0.397,0.262,0,,,162,0.329,0.413
110,PHI,NL,2009,820,709,93,0.334,0.447,0.258,1,4.0,2.0,162,0.329,0.427
111,PIT,NL,2009,636,768,62,0.318,0.387,0.252,0,,,161,0.346,0.442
112,SDP,NL,2009,638,769,75,0.321,0.381,0.242,0,,,162,0.333,0.406
113,SEA,AL,2009,640,692,85,0.314,0.402,0.258,0,,,162,0.316,0.394
114,SFG,NL,2009,657,611,88,0.309,0.389,0.257,0,,,162,0.314,0.372
115,STL,NL,2009,730,640,91,0.332,0.415,0.263,1,6.0,4.0,162,0.319,0.386
116,TBR,AL,2009,803,754,84,0.343,0.439,0.263,0,,,162,0.324,0.417
117,TEX,AL,2009,784,740,87,0.32,0.445,0.26,0,,,162,0.331,0.416
118,TOR,AL,2009,798,771,75,0.333,0.44,0.266,0,,,162,0.339,0.434
119,WSN,NL,2009,710,874,59,0.337,0.406,0.258,0,,,162,0.352,0.45
120,ARI,NL,2008,720,706,82,0.327,0.415,0.251,0,,,162,0.318,0.398
121,ATL,NL,2008,753,778,72,0.345,0.408,0.27,0,,,162,0.336,0.423
122,BAL,AL,2008,782,869,68,0.333,0.429,0.267,0,,,161,0.361,0.435
123,BOS,AL,2008,845,694,95,0.358,0.447,0.28,1,3.0,3.0,162,0.323,0.39
124,CHC,NL,2008,855,671,97,0.354,0.443,0.278,1,2.0,4.0,161,0.316,0.395
125,CHW,AL,2008,811,729,89,0.332,0.448,0.263,1,6.0,4.0,163,0.32,0.41
126,CIN,NL,2008,704,800,74,0.321,0.408,0.247,0,,,162,0.345,0.45
127,CLE,AL,2008,805,761,81,0.339,0.424,0.262,0,,,162,0.33,0.424
128,COL,NL,2008,747,822,74,0.336,0.415,0.263,0,,,162,0.344,0.431
129,DET,AL,2008,821,857,74,0.34,0.444,0.271,0,,,162,0.353,0.437
130,FLA,NL,2008,770,767,84,0.326,0.433,0.254,0,,,161,0.333,0.407
131,HOU,NL,2008,712,743,86,0.323,0.415,0.263,0,,,161,0.328,0.44
132,KCR,AL,2008,691,781,75,0.32,0.397,0.269,0,,,162,0.328,0.415
133,LAA,AL,2008,765,697,100,0.33,0.413,0.268,1,1.0,4.0,162,0.323,0.406
134,LAD,NL,2008,700,648,84,0.333,0.399,0.264,1,7.0,3.0,162,0.315,0.376
135,MIL,NL,2008,750,689,90,0.325,0.431,0.253,1,5.0,4.0,162,0.323,0.406
136,MIN,AL,2008,829,745,88,0.34,0.408,0.279,0,,,163,0.324,0.431
137,NYM,NL,2008,799,715,89,0.34,0.42,0.266,0,,,162,0.331,0.397
138,NYY,AL,2008,789,727,89,0.342,0.427,0.271,0,,,162,0.329,0.405
139,OAK,AL,2008,646,690,75,0.318,0.369,0.242,0,,,161,0.328,0.392
140,PHI,NL,2008,799,680,92,0.332,0.438,0.255,1,4.0,1.0,162,0.329,0.41
141,PIT,NL,2008,735,884,67,0.32,0.403,0.258,0,,,162,0.362,0.454
142,SDP,NL,2008,637,764,63,0.317,0.39,0.25,0,,,162,0.332,0.409
143,SEA,AL,2008,671,811,61,0.318,0.389,0.265,0,,,162,0.351,0.433
144,SFG,NL,2008,640,759,72,0.321,0.382,0.262,0,,,162,0.341,0.404
145,STL,NL,2008,779,725,86,0.35,0.433,0.281,0,,,162,0.332,0.431
146,TBR,AL,2008,774,671,97,0.34,0.422,0.26,1,2.0,2.0,162,0.314,0.4
147,TEX,AL,2008,901,967,79,0.354,0.462,0.283,0,,,162,0.362,0.455
148,TOR,AL,2008,714,610,86,0.331,0.399,0.264,0,,,162,0.309,0.38
149,WSN,NL,2008,641,825,59,0.323,0.373,0.251,0,,,161,0.343,0.436
150,ARI,NL,2007,712,732,90,0.321,0.413,0.25,1,3.0,3.0,162,0.334,0.42
151,ATL,NL,2007,810,733,84,0.339,0.435,0.275,0,,,162,0.327,0.415
152,BAL,AL,2007,756,868,69,0.333,0.412,0.272,0,,,162,0.354,0.412
153,BOS,AL,2007,867,657,96,0.362,0.444,0.279,1,1.0,1.0,162,0.314,0.392
154,CHC,NL,2007,752,690,85,0.333,0.422,0.271,1,5.0,4.0,162,0.322,0.399
155,CHW,AL,2007,693,839,72,0.318,0.404,0.246,0,,,162,0.338,0.435
156,CIN,NL,2007,783,853,72,0.335,0.436,0.267,0,,,162,0.343,0.456
157,CLE,AL,2007,811,704,96,0.343,0.428,0.268,1,1.0,3.0,162,0.322,0.407
158,COL,NL,2007,860,758,90,0.354,0.437,0.28,1,3.0,2.0,163,0.33,0.423
159,DET,AL,2007,887,797,88,0.345,0.458,0.287,0,,,162,0.338,0.427
160,FLA,NL,2007,790,891,71,0.336,0.448,0.267,0,,,162,0.364,0.442
161,HOU,NL,2007,723,813,73,0.33,0.412,0.26,0,,,162,0.337,0.454
162,KCR,AL,2007,706,778,69,0.322,0.388,0.261,0,,,162,0.339,0.445
163,LAA,AL,2007,822,731,94,0.345,0.417,0.284,1,2.0,4.0,162,0.328,0.412
164,LAD,NL,2007,735,727,82,0.337,0.406,0.275,0,,,162,0.326,0.399
165,MIL,NL,2007,801,776,83,0.329,0.456,0.262,0,,,162,0.333,0.422
166,MIN,AL,2007,718,725,79,0.33,0.391,0.264,0,,,162,0.324,0.431
167,NYM,NL,2007,804,750,88,0.342,0.432,0.275,0,,,162,0.329,0.409
168,NYY,AL,2007,968,777,94,0.366,0.463,0.29,1,2.0,4.0,162,0.34,0.417
169,OAK,AL,2007,741,758,76,0.338,0.407,0.256,0,,,162,0.329,0.404
170,PHI,NL,2007,892,821,89,0.354,0.458,0.274,1,4.0,4.0,162,0.346,0.451
171,PIT,NL,2007,724,846,68,0.325,0.411,0.263,0,,,162,0.352,0.447
172,SDP,NL,2007,741,666,89,0.322,0.411,0.251,0,,,163,0.311,0.374
173,SEA,AL,2007,794,813,88,0.337,0.425,0.287,0,,,162,0.349,0.431
174,SFG,NL,2007,683,720,71,0.322,0.387,0.254,0,,,162,0.334,0.405
175,STL,NL,2007,725,829,78,0.337,0.405,0.274,0,,,162,0.336,0.431
176,TBD,AL,2007,782,944,66,0.336,0.433,0.268,0,,,162,0.358,0.467
177,TEX,AL,2007,816,844,75,0.328,0.426,0.263,0,,,162,0.356,0.423
178,TOR,AL,2007,753,699,83,0.327,0.419,0.259,0,,,162,0.315,0.391
179,WSN,NL,2007,673,783,73,0.325,0.39,0.256,0,,,162,0.339,0.433
180,ARI,NL,2006,773,788,76,0.331,0.424,0.267,0,,,162,0.335,0.431
181,ATL,NL,2006,849,805,79,0.337,0.455,0.27,0,,,162,0.343,0.438
182,BAL,AL,2006,768,899,70,0.339,0.424,0.277,0,,,162,0.357,0.462
183,BOS,AL,2006,820,825,86,0.351,0.435,0.269,0,,,162,0.343,0.447
184,CHC,NL,2006,716,834,66,0.319,0.422,0.268,0,,,162,0.342,0.431
185,CHW,AL,2006,868,794,90,0.342,0.464,0.28,0,,,162,0.326,0.44
186,CIN,NL,2006,749,801,80,0.336,0.432,0.257,0,,,162,0.337,0.457
187,CLE,AL,2006,870,782,78,0.349,0.457,0.28,0,,,162,0.335,0.431
188,COL,NL,2006,813,812,76,0.341,0.433,0.27,0,,,162,0.346,0.438
189,DET,AL,2006,822,675,95,0.329,0.449,0.274,1,3.0,2.0,162,0.321,0.405
190,FLA,NL,2006,758,772,78,0.331,0.435,0.264,0,,,162,0.347,0.423
191,HOU,NL,2006,735,719,82,0.332,0.409,0.255,0,,,162,0.319,0.421
192,KCR,AL,2006,757,971,62,0.332,0.411,0.271,0,,,162,0.367,0.476
193,LAA,AL,2006,766,732,89,0.334,0.425,0.274,0,,,162,0.316,0.402
194,LAD,NL,2006,820,751,88,0.348,0.432,0.276,1,5.0,4.0,162,0.33,0.418
195,MIL,NL,2006,730,833,75,0.327,0.42,0.258,0,,,162,0.333,0.438
196,MIN,AL,2006,801,683,96,0.347,0.425,0.287,1,2.0,4.0,162,0.312,0.423
197,NYM,NL,2006,834,731,97,0.334,0.445,0.264,1,1.0,3.0,162,0.323,0.407
198,NYY,AL,2006,930,767,97,0.363,0.461,0.285,1,1.0,4.0,162,0.326,0.413
199,OAK,AL,2006,771,727,93,0.34,0.412,0.26,1,4.0,3.0,162,0.338,0.422
200,PHI,NL,2006,865,812,85,0.347,0.447,0.267,0,,,162,0.339,0.46
201,PIT,NL,2006,691,797,67,0.327,0.397,0.263,0,,,162,0.357,0.431
202,SDP,NL,2006,731,679,88,0.332,0.416,0.263,1,5.0,4.0,162,0.312,0.404
203,SEA,AL,2006,756,792,78,0.325,0.424,0.272,0,,,162,0.337,0.432
204,SFG,NL,2006,746,790,76,0.324,0.422,0.259,0,,,161,0.337,0.415
205,STL,NL,2006,781,762,83,0.337,0.431,0.269,1,6.0,1.0,161,0.337,0.443
206,TBD,AL,2006,689,856,61,0.314,0.42,0.255,0,,,162,0.358,0.452
207,TEX,AL,2006,835,784,80,0.338,0.446,0.278,0,,,162,0.341,0.424
208,TOR,AL,2006,809,754,87,0.348,0.463,0.284,0,,,162,0.328,0.422
209,WSN,NL,2006,746,872,71,0.338,0.418,0.262,0,,,162,0.349,0.447
210,ARI,NL,2005,696,856,77,0.332,0.421,0.256,0,,,162,0.345,0.455
211,ATL,NL,2005,769,674,90,0.333,0.435,0.265,1,4.0,4.0,162,0.333,0.406
212,BAL,AL,2005,729,800,74,0.327,0.434,0.269,0,,,162,0.336,0.416
213,BOS,AL,2005,910,805,95,0.357,0.454,0.281,1,3.0,4.0,162,0.335,0.441
214,CHC,NL,2005,703,714,79,0.324,0.44,0.27,0,,,162,0.325,0.407
215,CHW,AL,2005,741,645,99,0.322,0.425,0.262,1,2.0,1.0,162,0.31,0.397
216,CIN,NL,2005,820,889,73,0.339,0.446,0.261,0,,,163,0.352,0.483
217,CLE,AL,2005,790,642,93,0.334,0.453,0.271,0,,,162,0.302,0.387
218,COL,NL,2005,740,862,67,0.333,0.411,0.267,0,,,162,0.362,0.457
219,DET,AL,2005,723,787,71,0.321,0.428,0.272,0,,,162,0.33,0.436
220,FLA,NL,2005,717,732,83,0.339,0.409,0.272,0,,,162,0.339,0.402
221,HOU,NL,2005,693,609,89,0.322,0.408,0.256,1,5.0,2.0,163,0.308,0.389
222,KCR,AL,2005,701,935,56,0.32,0.396,0.263,0,,,162,0.362,0.463
223,LAA,AL,2005,761,643,95,0.325,0.409,0.27,1,3.0,3.0,162,0.312,0.401
224,LAD,NL,2005,685,755,71,0.326,0.395,0.253,0,,,162,0.327,0.429
225,MIL,NL,2005,726,697,81,0.331,0.423,0.259,0,,,162,0.324,0.408
226,MIN,AL,2005,688,662,83,0.323,0.391,0.259,0,,,162,0.307,0.408
227,NYM,NL,2005,722,648,83,0.322,0.416,0.258,0,,,162,0.321,0.387
228,NYY,AL,2005,886,789,95,0.355,0.45,0.276,1,3.0,4.0,162,0.332,0.422
229,OAK,AL,2005,772,658,88,0.33,0.407,0.262,0,,,162,0.311,0.382
230,PHI,NL,2005,807,726,88,0.348,0.423,0.27,0,,,162,0.32,0.426
231,PIT,NL,2005,680,769,67,0.322,0.4,0.259,0,,,162,0.344,0.424
232,SDP,NL,2005,684,726,82,0.333,0.391,0.257,1,6.0,4.0,162,0.322,0.408
233,SEA,AL,2005,699,751,69,0.317,0.391,0.256,0,,,162,0.332,0.422
234,SFG,NL,2005,649,745,75,0.319,0.396,0.261,0,,,162,0.336,0.412
235,STL,NL,2005,805,634,100,0.339,0.423,0.27,1,1.0,3.0,162,0.318,0.398
236,TBD,AL,2005,750,936,67,0.329,0.425,0.274,0,,,162,0.355,0.455
237,TEX,AL,2005,865,858,79,0.329,0.468,0.267,0,,,162,0.343,0.428
238,TOR,AL,2005,775,705,80,0.331,0.407,0.265,0,,,162,0.324,0.418
239,WSN,NL,2005,639,673,81,0.322,0.386,0.252,0,,,162,0.333,0.396
240,ANA,AL,2004,836,734,92,0.341,0.429,0.282,1,6.0,4.0,162,0.326,0.415
241,ARI,NL,2004,615,899,51,0.31,0.393,0.253,0,,,162,0.35,0.439
242,ATL,NL,2004,803,668,96,0.343,0.434,0.27,1,4.0,4.0,162,0.329,0.4
243,BAL,AL,2004,842,830,78,0.345,0.432,0.281,0,,,162,0.348,0.404
244,BOS,AL,2004,949,768,98,0.36,0.472,0.282,1,3.0,1.0,162,0.318,0.408
245,CHC,NL,2004,789,665,89,0.328,0.458,0.268,0,,,162,0.321,0.395
246,CHW,AL,2004,865,831,83,0.333,0.457,0.268,0,,,162,0.338,0.453
247,CIN,NL,2004,750,907,76,0.331,0.418,0.25,0,,,162,0.348,0.481
248,CLE,AL,2004,858,857,80,0.351,0.444,0.276,0,,,162,0.342,0.445
249,COL,NL,2004,833,923,68,0.345,0.455,0.275,0,,,162,0.372,0.471
250,DET,AL,2004,827,844,72,0.337,0.449,0.272,0,,,162,0.34,0.441
251,FLA,NL,2004,718,700,83,0.329,0.406,0.264,0,,,162,0.324,0.412
252,HOU,NL,2004,803,698,92,0.342,0.436,0.267,1,6.0,3.0,162,0.328,0.417
253,KCR,AL,2004,720,905,58,0.322,0.397,0.259,0,,,162,0.352,0.476
254,LAD,NL,2004,761,684,93,0.332,0.423,0.262,1,5.0,4.0,162,0.323,0.408
255,MIL,NL,2004,634,757,67,0.321,0.387,0.248,0,,,161,0.32,0.417
256,MIN,AL,2004,780,715,92,0.332,0.431,0.266,1,6.0,4.0,162,0.323,0.406
257,MON,NL,2004,635,769,67,0.313,0.392,0.249,0,,,162,0.342,0.431
258,NYM,NL,2004,684,731,71,0.317,0.409,0.249,0,,,162,0.335,0.405
259,NYY,AL,2004,897,808,101,0.353,0.458,0.268,1,2.0,3.0,162,0.328,0.432
260,OAK,AL,2004,793,742,91,0.343,0.433,0.27,0,,,162,0.332,0.409
261,PHI,NL,2004,840,781,86,0.345,0.443,0.267,0,,,162,0.33,0.448
262,PIT,NL,2004,680,744,72,0.321,0.401,0.26,0,,,161,0.342,0.416
263,SDP,NL,2004,768,705,87,0.342,0.414,0.273,0,,,162,0.318,0.431
264,SEA,AL,2004,698,823,63,0.331,0.396,0.27,0,,,162,0.338,0.441
265,SFG,NL,2004,850,770,91,0.357,0.438,0.27,0,,,162,0.332,0.423
266,STL,NL,2004,855,659,105,0.344,0.46,0.278,1,1.0,2.0,162,0.313,0.403
267,TBD,AL,2004,714,842,70,0.32,0.405,0.258,0,,,161,0.342,0.438
268,TEX,AL,2004,860,794,89,0.329,0.457,0.266,0,,,162,0.344,0.432
269,TOR,AL,2004,719,823,67,0.328,0.403,0.26,0,,,161,0.348,0.434
270,ANA,AL,2003,736,743,77,0.33,0.413,0.268,0,,,162,0.327,0.421
271,ARI,NL,2003,717,685,84,0.33,0.417,0.263,0,,,162,0.322,0.388
272,ATL,NL,2003,907,740,101,0.349,0.475,0.284,1,1.0,4.0,162,0.327,0.401
273,BAL,AL,2003,743,820,71,0.323,0.405,0.268,0,,,163,0.346,0.446
274,BOS,AL,2003,961,809,95,0.36,0.491,0.289,1,4.0,3.0,162,0.327,0.415
275,CHC,NL,2003,724,683,88,0.323,0.416,0.259,1,7.0,3.0,162,0.324,0.372
276,CHW,AL,2003,791,715,86,0.331,0.446,0.263,0,,,162,0.322,0.404
277,CIN,NL,2003,694,886,69,0.318,0.395,0.245,0,,,162,0.349,0.463
278,CLE,AL,2003,699,778,68,0.316,0.401,0.254,0,,,162,0.329,0.426
279,COL,NL,2003,853,892,74,0.344,0.445,0.267,0,,,162,0.359,0.47
280,DET,AL,2003,591,928,43,0.3,0.375,0.24,0,,,162,0.352,0.461
281,FLA,NL,2003,751,692,91,0.333,0.421,0.266,1,5.0,1.0,162,0.325,0.396
282,HOU,NL,2003,805,677,87,0.336,0.431,0.263,0,,,162,0.326,0.397
283,KCR,AL,2003,836,867,83,0.336,0.427,0.274,0,,,162,0.348,0.45
284,LAD,NL,2003,574,556,85,0.303,0.368,0.243,0,,,162,0.306,0.354
285,MIL,NL,2003,714,873,68,0.329,0.419,0.256,0,,,162,0.348,0.462
286,MIN,AL,2003,801,758,90,0.341,0.431,0.277,1,6.0,4.0,162,0.319,0.428
287,MON,NL,2003,711,716,83,0.326,0.401,0.258,0,,,162,0.327,0.423
288,NYM,NL,2003,642,754,66,0.314,0.374,0.247,0,,,161,0.345,0.438
289,NYY,AL,2003,877,716,101,0.356,0.453,0.271,1,1.0,2.0,163,0.314,0.407
290,OAK,AL,2003,768,643,96,0.327,0.417,0.254,1,3.0,4.0,162,0.314,0.376
291,PHI,NL,2003,791,697,86,0.343,0.419,0.261,0,,,162,0.327,0.401
292,PIT,NL,2003,753,801,75,0.338,0.42,0.267,0,,,162,0.336,0.431
293,SDP,NL,2003,678,831,64,0.333,0.388,0.261,0,,,162,0.341,0.437
294,SEA,AL,2003,795,637,93,0.344,0.41,0.271,0,,,162,0.311,0.388
295,SFG,NL,2003,755,638,100,0.338,0.425,0.264,1,2.0,4.0,161,0.321,0.386
296,STL,NL,2003,876,796,85,0.35,0.454,0.279,0,,,162,0.336,0.452
297,TBD,AL,2003,715,852,63,0.32,0.404,0.265,0,,,162,0.347,0.44
298,TEX,AL,2003,826,969,71,0.33,0.454,0.266,0,,,162,0.36,0.473
299,TOR,AL,2003,894,826,86,0.349,0.455,0.279,0,,,162,0.337,0.441
300,ANA,AL,2002,851,644,99,0.341,0.433,0.282,1,3.0,1.0,162,0.314,0.392
301,ARI,NL,2002,819,674,98,0.346,0.423,0.267,1,4.0,4.0,162,0.305,0.397
302,ATL,NL,2002,708,565,101,0.331,0.409,0.26,1,2.0,4.0,161,0.313,0.364
303,BAL,AL,2002,667,773,67,0.309,0.403,0.246,0,,,162,0.336,0.435
